omega,beta0,E,episode,beta,average R^T
1,0,3000,15342,0,-103.37100219726562
1,0,3000,15348,0,-103.45845031738281
1,0,3000,15429,0,-104.32807159423828
1,0,3000,15457,0,-104.96759796142578
1,0,3000,15474,0,-105.28055572509766
1,0,3000,15476,0,-104.80333709716797
1,0,3000,15508,0,-103.93411254882812
1,0,3000,15539,0,-104.02226257324219
1,0,3000,15598,0,-103.74407196044922
1,0,3000,15741,0,-105.64128112792969
1,0,3000,15765,0,-104.86997985839844
1,0,3000,15774,0,-104.9206771850586
1,0,3000,15780,0,-105.27388000488281
1,0,3000,15826,0,-103.69023132324219
1,0,3000,15829,0,-103.28105926513672
1,0,3000,15848,0,-103.82219696044922
1,0,3000,15867,0,-104.14326477050781
1,0,3000,15980,0,-105.19587707519531
1,0,3000,15994,0,-104.9269790649414
1,0,3000,16057,0,-104.19117736816406
1,0,3000,16096,0,-104.47177124023438
1,0,3000,16117,0,-104.85044860839844
1,0,3000,16176,0,-103.86723327636719
1,0,3000,16189,0,-104.89028930664062
1,0,3000,16199,0,-104.91773223876953
1,0,3000,16203,0,-105.39474487304688
1,0,3000,16250,0,-105.46168518066406
1,0,3000,16322,0,-105.44204711914062
1,0,3000,16344,0,-105.0708999633789
1,0,3000,16361,0,-104.72688293457031
1,0,3000,16407,0,-104.58605194091797
1,0,3000,16441,0,-105.8055648803711
1,0,3000,16506,0,-103.17862701416016
1,0,3000,16560,0,-104.2740478515625
1,0,3000,16586,0,-105.23684692382812
1,0,3000,16591,0,-106.39105224609375
1,0,3000,16662,0,-104.65354919433594
1,0,3000,16666,0,-104.84474182128906
1,0,3000,16698,0,-104.60254669189453
1,0,3000,16747,0,-103.794189453125
1,0,3000,16809,0,-104.40090942382812
1,0,3000,16810,0,-104.36310577392578
1,0,3000,16835,0,-104.60282897949219
1,0,3000,16844,0,-104.09558868408203
1,0,3000,16858,0,-104.1832504272461
1,0,3000,16900,0,-104.36983489990234
1,0,3000,16925,0,-105.252197265625
1,0,3000,17067,0,-106.35794830322266
1,0,3000,17098,0,-104.84263610839844
1,0,3000,17132,0,-103.79788208007812
1,0,3000,17155,0,-103.81925201416016
1,0,3000,17193,0,-102.9839859008789
1,0,3000,17203,0,-103.5353012084961
1,0,3000,17240,0,-104.43792724609375
1,0,3000,17248,0,-104.14645385742188
1,0,3000,17262,0,-104.9372787475586
1,0,3000,17273,0,-105.07328796386719
1,0,3000,17291,0,-105.10287475585938
1,0,3000,17293,0,-105.47329711914062
1,0,3000,17316,0,-103.77031707763672
1,0,3000,17317,0,-103.7455062866211
1,0,3000,17318,0,-103.73492431640625
1,0,3000,17321,0,-103.74578094482422
1,0,3000,17340,0,-104.24034881591797
1,0,3000,17375,0,-105.23793029785156
1,0,3000,17392,0,-105.07437896728516
1,0,3000,17406,0,-104.99186706542969
1,0,3000,17427,0,-103.75240325927734
1,0,3000,17445,0,-103.76881408691406
1,0,3000,17455,0,-103.96973419189453
1,0,3000,17504,0,-105.1504898071289
1,0,3000,17544,0,-104.43639373779297
1,0,3000,17558,0,-104.19039916992188
1,0,3000,17564,0,-104.11603546142578
1,0,3000,17578,0,-104.29335021972656
1,0,3000,17587,0,-103.78306579589844
1,0,3000,17594,0,-103.45693969726562
1,0,3000,17595,0,-103.504638671875
1,0,3000,17599,0,-103.90111541748047
1,0,3000,17624,0,-104.23041534423828
1,0,3000,17634,0,-105.3822250366211
1,0,3000,17654,0,-105.44721984863281
1,0,3000,17668,0,-104.75991821289062
1,0,3000,17704,0,-103.72914123535156
1,0,3000,17723,0,-104.50334930419922
1,0,3000,17772,0,-104.91646575927734
1,0,3000,17773,0,-104.8414306640625
1,0,3000,17805,0,-103.923583984375
1,0,3000,17843,0,-104.22764587402344
1,0,3000,17954,0,-105.24577331542969
1,0,3000,17963,0,-105.222900390625
1,0,3000,17979,0,-105.26556396484375
1,0,3000,17982,0,-105.98217010498047
1,0,3000,17991,0,-105.38147735595703
1,0,3000,18019,0,-106.90727996826172
1,0,3000,18054,0,-104.79924774169922
1,0,3000,18066,0,-104.48130798339844
1,0,3000,18105,0,-105.780517578125
1,0,3000,18130,0,-105.07135009765625
1,0,3000,18147,0,-104.18785095214844
1,0,3000,18191,0,-103.94053649902344
1,0,3000,18215,0,-104.49442291259766
1,0,3000,18237,0,-105.31920623779297
1,0,3000,18265,0,-105.52214813232422
1,0,3000,18319,0,-103.57273864746094
1,0,3000,18363,0,-105.53194427490234
1,0,3000,18452,0,-103.94352722167969
1,0,3000,18453,0,-104.10014343261719
1,0,3000,18540,0,-104.78807830810547
1,0,3000,18548,0,-104.6419906616211
1,0,3000,18593,0,-104.72824096679688
1,0,3000,18653,0,-104.47015380859375
1,0,3000,18714,0,-104.85176849365234
1,0,3000,18721,0,-104.4805908203125
1,0,3000,18750,0,-105.24952697753906
1,0,3000,18787,0,-104.34647369384766
1,0,3000,18804,0,-104.03838348388672
1,0,3000,18846,0,-104.34817504882812
1,0,3000,18894,0,-104.59447479248047
1,0,3000,18934,0,-104.0825424194336
1,0,3000,18959,0,-105.00653839111328
1,0,3000,18978,0,-105.04834747314453
1,0,3000,18983,0,-105.02334594726562
1,0,3000,19006,0,-103.93822479248047
1,0,3000,19028,0,-103.94926452636719
1,0,3000,19049,0,-104.69208526611328
1,0,3000,19096,0,-104.5540542602539
1,0,3000,19117,0,-104.83597564697266
