train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed
3636.0289135742187,100197.82714782716,-10836.96458452,35800,36000,151,360,100.0,0.001,238
3643.81205078125,119181.86470520019,-10847.92405487,36200,36400,151,364,100.0,0.001,240
3623.5623999023437,125812.31250610351,-10882.64427019,36600,36800,151,368,100.0,0.001,243
3621.351982421875,108885.46096679688,-10887.95088857,37000,37200,151,372,100.0,0.001,246
3608.62095703125,104962.23067626954,-10902.19486917,37400,37600,151,376,100.0,0.001,248
3603.564794921875,145749.89223754886,-10925.62847293,37800,38000,151,380,100.0,0.001,251
3614.03115234375,117355.63195678713,-10910.15392866,38200,38400,151,384,100.0,0.001,254
3603.589409179688,108442.32099975586,-10868.07646829,38600,38800,151,388,100.0,0.001,256
3595.6523510742186,129655.0151147461,-10847.965393209995,39000,39200,151,392,100.0,0.001,259
3596.53166015625,118569.02808166506,-10824.765735529998,39400,39600,151,396,100.0,0.001,262
3611.2993286132814,110827.49871887207,-10825.97141616,39800,40000,150,400,100.0,0.001,264
3623.511049804688,101183.565703125,-10819.76708034,40200,40400,150,404,100.0,0.001,267
3621.854670410157,139665.17042114257,-10826.11633584,40600,40800,150,408,100.0,0.001,270
3636.0272412109375,120124.41336364744,-10842.01214695,41000,41200,150,412,100.0,0.001,272
3629.844953613281,115153.69508789062,-10849.31317826,41400,41600,150,416,100.0,0.001,275
3662.875847167969,114451.9953289795,-10882.451872889998,41800,42000,150,420,100.0,0.001,278
3664.459799804688,115409.01357971193,-10908.44106262,42200,42400,150,424,100.0,0.001,280
3659.3362060546883,118775.97680603027,-10951.63094221,42600,42800,150,428,100.0,0.001,283
3666.977724609375,106902.26359802246,-10969.50037865,43000,43200,150,432,100.0,0.001,286
3674.173784179688,109032.34461791992,-10989.4075201,43400,43600,150,436,100.0,0.001,288
3668.296938476561,128932.60580566405,-11006.883517790002,43800,44000,150,440,100.0,0.001,291
3679.7650390625,136939.48211669922,-11040.99688715,44200,44400,150,444,100.0,0.001,294
3704.973759765625,122472.38481201172,-11064.509106049998,44600,44800,150,448,100.0,0.001,296
3686.833857421875,129183.13627807616,-11067.85899532,45000,45200,150,452,100.0,0.001,299
3672.6832666015625,118637.9342163086,-11095.13206774,45400,45600,150,456,100.0,0.001,302
3703.897534179688,99967.43630371094,-11140.63676683,45800,46000,150,460,100.0,0.001,304
3707.9234838867187,115706.35078186035,-11147.88643933,46200,46400,150,464,100.0,0.001,307
3695.785329589844,109289.44426513671,-11137.411541209998,46600,46800,150,468,100.0,0.001,310
3711.166025390625,118385.06891967775,-11153.045325649997,47000,47200,150,472,100.0,0.001,312
3708.6600952148438,98415.91536010742,-11137.02182693,47400,47600,150,476,100.0,0.001,315
3698.8824072265625,125967.93763549805,-11130.758946399998,47800,48000,150,480,100.0,0.001,318
3707.4395703125,116121.5883569336,-11135.79854504,48200,48400,150,484,100.0,0.001,320
3701.3983837890623,115098.38544189453,-11143.176806560004,48600,48800,150,488,100.0,0.001,323
3719.322385253906,101510.1524255371,-11148.469069350003,49000,49200,150,492,100.0,0.001,325
3733.999621582031,97342.19255371092,-11152.69977619,49400,49600,150,496,100.0,0.001,328
3717.4703125,128678.52943115235,-11163.54349508,49800,50000,150,500,100.0,0.001,331
3723.6657788085936,97291.20642211914,-11175.9460993,50200,50400,150,504,100.0,0.001,333
3741.7639453125,139170.2810900879,-11170.07717961,50600,50800,150,508,100.0,0.001,336
3739.340310058594,130817.0291052246,-11161.70779034,51000,51200,150,512,100.0,0.001,339
3736.592790527344,136570.87030395507,-11176.41745281,51400,51600,150,516,100.0,0.001,341
3746.349929199219,136141.2466015625,-11183.98136185,51800,52000,150,520,100.0,0.001,344
3750.0157495117187,99503.43992492676,-11194.199347799999,52200,52400,150,524,100.0,0.001,347
3738.799384765625,131767.10484924316,-11170.2725071,52600,52800,150,528,100.0,0.001,349
3741.243017578125,142353.26056518554,-11206.04324546,53000,53200,150,532,100.0,0.001,352
3748.1654858398438,127593.42530273438,-11208.028997820002,53400,53600,150,536,100.0,0.001,355
3735.01009765625,142111.65444213868,-11230.23624145,53800,54000,150,540,100.0,0.001,357
3750.933930664063,102351.80927368165,-11236.446054319998,54200,54400,150,544,100.0,0.001,360
3746.8354443359376,92179.02343139649,-11243.58291832,54600,54800,150,548,100.0,0.001,363
3739.1325952148436,134613.88801086426,-11241.501218820002,55000,55200,150,552,100.0,0.001,365
3753.3546166992187,120532.66459350586,-11223.22217281,55400,55600,150,556,100.0,0.001,368
3734.675776367188,141307.5277819824,-11183.76809724,55800,56000,150,560,100.0,0.001,371
3761.200864257813,104726.55785217283,-11184.60980101,56200,56400,150,564,100.0,0.001,373
3767.9227270507813,97717.70879394533,-11155.989190939998,56600,56800,150,568,100.0,0.001,376
3746.5211206054687,129196.4559777832,-11129.072220350004,57000,57200,150,572,100.0,0.001,378
3753.7878881835936,133885.7397265625,-11110.814470549998,57400,57600,150,576,100.0,0.001,381
3747.080634765625,105988.19820556641,-11106.11691053,57800,58000,150,580,100.0,0.001,384
3741.82115234375,114251.42658325196,-11149.101235129998,58200,58400,150,584,100.0,0.001,386
3741.8463110351563,109338.80861938477,-11197.307747649997,58600,58800,150,588,100.0,0.001,389
3702.60861328125,100825.58318847656,-11242.12228704,59000,59200,150,592,100.0,0.001,392
3701.8803979492186,117572.48035522463,-11252.497999260002,59400,59600,150,596,100.0,0.001,394
3704.3169067382814,109436.29981445313,-11274.85045596,59800,60000,150,600,100.0,0.001,397
3663.719868164063,127119.94514648436,-11301.33246927,60200,60400,150,604,100.0,0.001,400
3661.3095581054686,114160.4746801758,-11341.79343456,60600,60800,150,608,100.0,0.001,402
3650.032729492188,114269.8873590088,-11365.81938557,61000,61200,150,612,100.0,0.001,405
3631.43451171875,120019.63451782227,-11377.32276174,61400,61600,150,616,100.0,0.001,408
3624.820822753906,131158.1948059082,-11383.31732381,61800,62000,150,620,100.0,0.001,410
3641.1843603515626,101912.67600463868,-11395.1316721,62200,62400,150,624,100.0,0.001,413
3638.274345703125,110218.823984375,-11427.304988960002,62600,62800,150,628,100.0,0.001,416
3620.59544921875,103712.21684326172,-11420.354557860002,63000,63200,150,632,100.0,0.001,418
3613.6934448242187,90061.33002563477,-11445.36840221,63400,63600,150,636,100.0,0.001,421
3612.862619628906,99954.39188110351,-11441.702224939998,63800,64000,150,640,100.0,0.001,423
3598.5768188476563,116524.02250244141,-11450.772387679996,64200,64400,150,644,100.0,0.001,426
3594.1737646484376,135217.31826049805,-11456.40295176,64600,64800,150,648,100.0,0.001,429
3602.6055737304687,107040.27076782227,-11491.33211581,65000,65200,150,652,100.0,0.001,431
3610.8284912109375,105307.93932250976,-11518.19818722,65400,65600,150,656,100.0,0.001,434
3622.7464575195313,119659.82856201172,-11524.26163683,65800,66000,150,660,100.0,0.001,437
3620.0383715820312,106931.61079956054,-11515.23258148,66200,66400,150,664,100.0,0.001,439
3632.2397143554685,88481.4309765625,-11532.86846771,66600,66800,150,668,100.0,0.001,442
3628.717509765625,121654.51268676756,-11549.94437408,67000,67200,150,672,100.0,0.001,445
