train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
1.1920928955078125e-07,-4.952150344848633,1.261657476425171,-1835.98828125,52000,129,10400,0.0007,10399,-12985.09461058,163141.234375,100.0,401
0.0,-4.94788932800293,1.260120868682861,-1733.7196044921875,52500,130,10500,0.0007,10499,-13037.304745779997,167886.046875,100.0,401
5.960464477539063e-08,-4.969301223754883,1.268867254257202,-1846.3519287109373,53000,132,10600,0.0007,10599,-13098.935376359996,167768.015625,100.0,401
0.0,-4.963098049163818,1.2663275003433228,-1846.560546875,53500,133,10700,0.0007,10699,-13146.950851920004,167656.03125,100.0,401
0.0,-4.984532833099365,1.2762762308120728,-1513.0257568359375,54000,134,10800,0.0007,10799,-13193.223882990002,167540.796875,100.0,401
0.0,-4.987275123596191,1.277129054069519,-1611.779541015625,54500,135,10900,0.0007,10899,-13255.458139000002,167431.921875,100.0,401
0.0,-4.989341735839844,1.2779793739318848,-1663.1549072265625,55000,136,11000,0.0007,10999,-13297.037776550002,167319.984375,100.0,401
0.0,-5.011104106903076,1.2865656614303589,-1957.3719482421875,55500,138,11100,0.0007,11099,-13317.420044710005,165540.390625,100.0,401
0.0,-5.015544414520264,1.2895703315734863,-1619.427978515625,56000,139,11200,0.0007,11199,-13333.788598190002,167095.21875,100.0,401
-1.1920928955078125e-07,-5.020135879516602,1.2916005849838257,-1571.3232421875,56500,140,11300,0.0007,11299,-13351.50599045,166984.65625,100.0,401
0.0,-5.025940895080566,1.293689489364624,-1857.229736328125,57000,141,11400,0.0007,11399,-13361.488267690003,166875.140625,100.0,401
0.0,-5.037946224212647,1.2990243434906006,-1698.213134765625,57500,143,11500,0.0007,11499,-13364.42475055,166763.71875,100.0,401
0.0,-5.0710768699646,1.3133530616760254,-1679.2816162109375,58000,144,11600,0.0007,11599,-13369.444022569998,166651.234375,100.0,401
0.0,-5.0708513259887695,1.3119536638259888,-2240.255859375,58500,145,11700,0.0007,11699,-13371.471792429998,160082.125,100.0,401
0.0,-5.070413589477539,1.3122440576553345,-2129.311767578125,59000,146,11800,0.0007,11799,-13377.637338240002,166431.25,100.0,401
0.0,-5.07207727432251,1.3139126300811768,-1763.0194091796875,59500,148,11900,0.0007,11899,-13378.91690294,166321.59375,100.0,401
