time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps
147,3470.892509765625,446,155841.2538671875,100.0,656,65400,-4118.3109026600005,0.001,65600
147,3463.54845703125,448,207482.07236816405,100.0,660,65800,-3729.8858994,0.001,66000
147,3437.58484375,451,232982.4157861328,100.0,664,66200,-3436.4479355899994,0.001,66400
147,3436.772568359375,454,180238.8148388672,100.0,668,66600,-3166.25984271,0.001,66800
146,3418.8249462890626,457,227752.22908447267,100.0,672,67000,-2968.5400350200002,0.001,67200
146,3423.2198681640625,459,199134.93044921875,100.0,676,67400,-2871.3509461099998,0.001,67600
146,3406.9758056640626,462,206199.2657397461,100.0,680,67800,-2673.6429603700008,0.001,68000
146,3405.9689501953126,465,189483.7371850586,100.0,684,68200,-2538.9882621700003,0.001,68400
146,3396.4050634765626,468,210285.5597680664,100.0,688,68600,-2303.21534384,0.001,68800
146,3367.9161083984377,470,203317.18328613281,100.0,692,69000,-2022.5531142799998,0.001,69200
146,3374.7567626953123,473,208260.12562744142,100.0,696,69400,-1893.17823497,0.001,69600
146,3351.7240234375,476,197958.33861083986,100.0,700,69800,-1703.7085953800006,0.001,70000
146,3351.1724609375,479,179846.34415771483,100.0,704,70200,-1475.7280226700004,0.001,70400
146,3341.3495654296876,481,176393.57796875,100.0,708,70600,-1344.07577332,0.001,70800
146,3338.8007275390623,484,177530.12395507813,100.0,712,71000,-1163.10725202,0.001,71200
146,3325.23494140625,487,183320.22556640624,100.0,716,71400,-1119.0709628999998,0.001,71600
146,3319.6492626953127,489,191498.45487060546,100.0,720,71800,-1078.60156987,0.001,72000
146,3281.9793310546875,492,219619.67470458985,100.0,724,72200,-882.9449390599998,0.001,72400
146,3283.2379296875,495,210365.11665283202,100.0,728,72600,-589.38871957,0.001,72800
146,3262.4437109375,498,175396.87314941405,100.0,732,73000,-537.56066457,0.001,73200
146,3246.071787109375,500,210485.44599121093,100.0,736,73400,-538.20359835,0.001,73600
146,3241.142841796875,503,191211.49892822266,100.0,740,73800,-396.74453601999994,0.001,74000
146,3232.5448876953124,506,183996.5269140625,100.0,744,74200,-247.36316459999998,0.001,74400
146,3170.51740234375,509,180149.71879638673,100.0,748,74600,-247.6186274,0.001,74800
146,3172.0851123046873,511,185348.92397460938,100.0,752,75000,-247.81614531,0.001,75200
146,3154.638828125,514,168598.31759765625,100.0,756,75400,-246.2890003699999,0.001,75600
146,3143.5835693359377,517,197174.82749267577,100.0,760,75800,-246.62003280000002,0.001,76000
146,3099.673896484375,520,173711.32900634766,100.0,764,76200,-247.03991822999996,0.001,76400
146,3095.008408203125,522,150250.01071289062,100.0,768,76600,-247.53295135,0.001,76800
146,3064.398076171875,525,199773.86352783203,100.0,772,77000,-247.92069545999996,0.001,77200
146,3058.3300927734376,528,168876.86168701173,100.0,776,77400,-151.37027651,0.001,77600
146,3037.1206201171876,531,170711.05279785156,100.0,780,77800,-151.69669011000005,0.001,78000
146,3012.1748974609377,533,153563.0194165039,100.0,784,78200,-103.04825407,0.001,78400
146,2990.697314453125,536,180326.99349121095,100.0,788,78600,-103.29183726000001,0.001,78800
146,2973.3967333984374,539,170568.6758203125,100.0,792,79000,-103.43024880999998,0.001,79200
146,2961.439951171875,542,166196.80709228516,100.0,796,79400,-102.72689239000002,0.001,79600
146,2921.606552734375,544,138947.5246508789,100.0,800,79800,-102.92301251999999,0.001,80000
146,2902.277470703125,547,142208.50279052733,100.0,804,80200,-103.03619864000002,0.001,80400
146,2899.7241455078124,550,178907.28241699218,100.0,808,80600,-103.10080310999997,0.001,80800
146,2896.5590283203123,553,140187.6385107422,100.0,812,81000,-103.10289370000001,0.001,81200
146,2857.50244140625,555,177552.24932617188,100.0,816,81400,-103.10257682000001,0.001,81600
146,2809.7447998046873,558,143405.57521484376,100.0,820,81800,-103.14835540999998,0.001,82000
146,2810.5516259765627,561,145811.53388671874,100.0,824,82200,-103.19109659000001,0.001,82400
146,2780.6672314453126,564,151396.32832519533,100.0,828,82600,-102.28909481000002,0.001,82800
146,2773.7234619140627,566,157000.52071044923,100.0,832,83000,-102.27623528000002,0.001,83200
146,2732.0724169921873,569,145940.87436035156,100.0,836,83400,-102.27505112,0.001,83600
146,2709.668017578125,571,126638.58084472656,100.0,840,83800,-102.28226417,0.001,84000
146,2705.44673828125,574,152362.904453125,100.0,844,84200,-102.35130566000002,0.001,84400
146,2677.6014794921875,577,139505.95715576172,100.0,848,84600,-102.37999698999998,0.001,84800
146,2644.8084521484375,579,159927.12268798827,100.0,852,85000,-102.43284887,0.001,85200
146,2633.7565966796874,582,131347.42517578125,100.0,856,85400,-102.52047273000002,0.001,85600
146,2599.42640625,585,124108.02690429687,100.0,860,85800,-102.50993917999999,0.001,86000
147,2587.091162109375,587,132353.3917224121,100.0,864,86200,-102.46345828000001,0.001,86400
147,2578.7664892578123,590,156294.8693701172,100.0,868,86600,-103.47160763,0.001,86800
147,2544.957890625,593,144033.4236621094,100.0,872,87000,-103.47415674000001,0.001,87200
