train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
0.07325674593448639,2689,505,0.7628490924835205,271800,1359000,0.0005975374951958656,-172.0,1.0,nan,-1.756264328956604,0.0007,271799
0.03770798072218895,2690,505,0.7605202198028564,271900,1359500,0.00053581059910357,-172.0,1.0,nan,-1.7604213953018188,0.0007,271899
0.07717578858137131,2691,505,0.7568854093551636,272000,1360000,0.002056542783975601,-172.0,1.0,nan,-1.752102255821228,0.0007,271999
0.058703791350126266,2692,505,0.7603371739387512,272100,1360500,0.00028946087695658207,-172.0,1.0,nan,-1.7547096014022827,0.0007,272099
-0.00727912737056613,2693,505,0.7569003105163574,272200,1361000,4.610628820955753e-05,-172.0,1.0,nan,-1.7486950159072876,0.0007,272199
-0.017482588067650795,2694,505,0.7561016082763672,272300,1361500,5.499366670846939e-05,-172.0,1.0,nan,-1.7467193603515625,0.0007,272299
-0.0480634979903698,2695,505,0.7591552138328552,272400,1362000,0.0009528661030344665,-172.0,1.0,nan,-1.7483009099960327,0.0007,272399
-0.027147619053721428,2696,505,0.7611771821975708,272500,1362500,0.00016585364937782288,-172.0,1.0,nan,-1.7456060647964478,0.0007,272499
0.000508416851516813,2697,505,0.7648522853851318,272600,1363000,7.543712854385376e-08,-172.0,1.0,nan,-1.7533882856369019,0.0007,272599
-0.02798616886138916,2698,505,0.7684563398361206,272700,1363500,0.0007277876138687134,-172.0,1.0,nan,-1.7578662633895874,0.0007,272699
0.04204956814646721,2699,505,0.7650946378707886,272800,1364000,0.0007585680577903986,-172.0,1.0,nan,-1.7572959661483765,0.0007,272799
0.022657407447695732,2700,505,0.7638031840324402,272900,1364500,0.0003516769502311945,-172.0,1.0,nan,-1.74822199344635,0.0007,272899
-0.027995599433779716,2701,505,0.7619903683662415,273000,1365000,0.0002761187497526407,-172.0,1.0,nan,-1.7423114776611328,0.0007,272999
0.022991439327597618,2702,505,0.7597780227661133,273100,1365500,0.0004311504017096013,-172.0,1.0,nan,-1.7368875741958618,0.0007,273099
0.029660886153578758,2703,505,0.7565688490867615,273200,1366000,0.0005521811544895172,-172.0,1.0,nan,-1.7300480604171753,0.0007,273199
-0.04735727235674858,2704,505,0.7597925066947937,273300,1366500,0.00038986001163721085,-172.0,1.0,nan,-1.7273792028427124,0.0007,273299
0.040466953068971634,2705,505,0.7564043998718262,273400,1367000,0.0007865587249398232,-172.0,1.0,nan,-1.7284351587295532,0.0007,273399
-0.036261629313230515,2706,505,0.7513762712478638,273500,1367500,0.0002616085112094879,-172.0,1.0,nan,-1.711927056312561,0.0007,273499
-0.03303803130984306,2707,505,0.7477766275405884,273600,1368000,0.0003597347531467676,-172.0,1.0,nan,-1.6981191635131836,0.0007,273599
-0.04385995492339134,2708,505,0.7563049793243408,273700,1368500,0.0008325746166519821,-172.0,1.0,nan,-1.7199472188949585,0.0007,273699
-0.03209937363862991,2709,505,0.7508111000061035,273800,1369000,0.00010709171328926459,-172.0,1.0,nan,-1.712032675743103,0.0007,273799
-0.08186832815408707,2710,505,0.7506752014160156,273900,1369500,0.0008529508486390114,-172.0,1.0,nan,-1.7120529413223267,0.0007,273899
0.041721392422914505,2711,505,0.7495754361152649,274000,1370000,0.0005329886917024851,-172.0,1.0,nan,-1.7052443027496338,0.0007,273999
-0.06298284232616425,2712,505,0.7608556747436523,274100,1370500,0.000822041358333081,-172.0,1.0,nan,-1.727474570274353,0.0007,274099
-0.024034932255744934,2713,505,0.7614258527755737,274200,1371000,0.00011869613081216812,-172.0,1.0,nan,-1.7317678928375244,0.0007,274199
