train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-5.339516639709473,100.0,113,-1589.7901611328125,11800,-12768.45797799,518,0.0007,0.0,59000,1.439750075340271,11799,142187.390625
-5.345585823059082,100.0,114,-1591.7545166015625,11900,-12767.457864020002,518,0.0007,0.0,59500,1.442707896232605,11899,140113.375
-5.354602336883545,100.0,115,-1518.0357666015625,12000,-12750.75480285,518,0.0007,0.0,60000,1.4480088949203491,11999,137294.421875
-5.361185073852539,100.0,116,-1710.110595703125,12100,-12724.19483022,518,0.0007,5.960464477539063e-08,60500,1.4499988555908203,12099,142615.296875
-5.376567840576172,100.0,117,-1745.1607666015625,12200,-12682.56454382,518,0.0007,0.0,61000,1.4572207927703855,12199,128593.1796875
-5.405530452728272,100.0,118,-1614.669921875,12300,-12632.98961721,518,0.0007,0.0,61500,1.4723756313323977,12299,153030.625
-5.408821105957031,100.0,119,-2022.630859375,12400,-12587.827934990002,519,0.0007,0.0,62000,1.4728260040283203,12399,148159.046875
-5.406091213226318,100.0,120,-1786.6444091796875,12500,-12540.643698449998,519,0.0007,0.0,62500,1.471565008163452,12499,151820.640625
-5.399285316467285,100.0,121,-1610.86767578125,12600,-12492.33490031,519,0.0007,0.0,63000,1.4683202505111694,12599,129024.0
-5.386073589324951,100.0,122,-1800.1019287109375,12700,-12462.448908610002,519,0.0007,0.0,63500,1.4610936641693115,12699,131314.6875
-5.389118194580078,100.0,123,-2158.64501953125,12800,-12457.232451270005,519,0.0007,-1.1920928955078125e-07,64000,1.4613269567489624,12799,141147.859375
-5.379725933074951,100.0,124,-2428.950927734375,12900,-12442.80750341,519,0.0007,0.0,64500,1.4560855627059937,12899,151072.0
-5.367536544799805,100.0,125,-1870.9832763671875,13000,-12430.383863119998,519,0.0007,0.0,65000,1.4520905017852783,12999,157193.375
-5.376153945922852,100.0,126,-1801.6766357421875,13100,-12394.08193349,519,0.0007,0.0,65500,1.4560312032699585,13099,140475.453125
-5.368276119232178,100.0,127,-1897.3984375,13200,-12369.055727679995,519,0.0007,0.0,66000,1.45224130153656,13199,141927.5625
-5.38400411605835,100.0,128,-2030.3656005859373,13300,-12324.618515249998,519,0.0007,0.0,66500,1.4591834545135498,13299,147048.921875
-5.394289970397949,100.0,128,-1714.1907958984375,13400,-12260.530617739998,519,0.0007,-3.5762786865234364e-07,67000,1.4656299352645874,13399,142838.484375
-5.397749900817871,100.0,129,-1759.593994140625,13500,-12158.75750654,519,0.0007,-1.1920928955078125e-07,67500,1.4677035808563232,13499,149079.53125
-5.433436393737793,100.0,130,-629.0177001953125,13600,-12020.06439456,519,0.0007,0.0,68000,1.4844344854354858,13599,15898.9638671875
-5.4374961853027335,100.0,131,-897.8295288085938,13700,-11843.09131633,519,0.0007,0.0,68500,1.4862087965011597,13699,35754.60546875
-5.4376792907714835,100.0,132,-2033.802734375,13800,-11640.252099370002,519,0.0007,0.0,69000,1.4857738018035889,13799,148583.328125
-5.449084281921387,100.0,133,-87.17790985107422,13900,-11396.411987149997,519,0.0007,0.0,69500,1.4929876327514648,13899,551.8892211914061
-5.46326208114624,100.0,134,-1677.346923828125,14000,-11178.87044505,519,0.0007,-1.1920928955078125e-07,70000,1.498191237449646,13999,93461.2265625
-5.479837417602539,100.0,135,-355.8467712402344,14100,-10935.98591773,519,0.0007,-8.344650268554688e-07,70500,1.506009817123413,14099,4984.2587890625
-5.499205589294434,100.0,136,-160.5985565185547,14200,-10680.8916635,519,0.0007,0.0,71000,1.5159496068954468,14199,1066.1724853515623
-5.495000839233398,100.0,137,-990.9169921875,14300,-10432.36082635,519,0.0007,0.0,71500,1.5133781433105469,14299,42462.74609375
