train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
47800,320,480,213328.04071533203,0.001,149,-9677.917630700002,100.0,48000,3415.4658349609376
48200,323,484,230520.1117602539,0.001,149,-9546.50325052,100.0,48400,3431.269501953125
48600,326,488,226313.0432470703,0.001,149,-9466.139449990002,100.0,48800,3428.84544921875
49000,328,492,208271.5411547852,0.001,149,-9230.15921983,100.0,49200,3430.207436523437
49400,331,496,222349.31947265624,0.001,149,-9228.13971582,100.0,49600,3465.387358398437
49800,334,500,235295.5714404297,0.001,149,-9302.2686674,100.0,50000,3474.945678710937
50200,337,504,215140.51600097652,0.001,149,-9201.45651566,100.0,50400,3493.886884765625
50600,339,508,209498.51389648442,0.001,149,-9222.929077100001,100.0,50800,3499.8058056640625
51000,342,512,211192.7650610352,0.001,149,-9009.00966205,100.0,51200,3532.373349609375
51400,345,516,237590.7244140625,0.001,149,-9009.225297719999,100.0,51600,3546.816552734375
51800,347,520,171098.35471435546,0.001,149,-8793.097117909998,100.0,52000,3535.536538085937
52200,350,524,201703.05716796874,0.001,149,-8598.746371439996,100.0,52400,3555.8687939453125
52600,353,528,242582.78507080078,0.001,149,-8289.674869309998,100.0,52800,3557.86154296875
53000,355,532,223950.56122314453,0.001,149,-8086.87425289,100.0,53200,3536.42408203125
53400,358,536,251179.7262109375,0.001,149,-7677.071220489999,100.0,53600,3552.6901416015626
53800,361,540,269137.3220605469,0.001,149,-7441.219979109997,100.0,54000,3565.3486181640624
54200,363,544,202772.1271875,0.001,149,-7394.337538579999,100.0,54400,3541.199560546875
54600,366,548,214851.30883544922,0.001,149,-6994.7847441999975,100.0,54800,3566.8140966796873
55000,369,552,210370.4711303711,0.001,149,-6953.943200420002,100.0,55200,3577.497958984375
55400,372,556,235369.8519580078,0.001,149,-6746.17051562,100.0,55600,3567.297978515625
55800,374,560,236086.636184082,0.001,149,-6484.99654694,100.0,56000,3585.34392578125
56200,377,564,270397.5335253906,0.001,149,-6172.5664313900015,100.0,56400,3579.4698486328125
56600,380,568,233444.5969799805,0.001,149,-6042.585831349998,100.0,56800,3595.78341796875
57000,382,572,217957.8884375,0.001,149,-5909.063509739999,100.0,57200,3612.811005859375
57400,385,576,218343.73866210933,0.001,149,-5730.22937468,100.0,57600,3598.2020361328123
57800,388,580,257372.5477050781,0.001,149,-5620.27694059,100.0,58000,3585.09341796875
58200,391,584,256506.7769091797,0.001,149,-5459.44586678,100.0,58400,3578.2577197265623
58600,393,588,221874.4987866211,0.001,149,-5241.7384664,100.0,58800,3581.198193359375
59000,396,592,223933.80220947266,0.001,149,-5262.31465415,100.0,59200,3583.594365234375
59400,399,596,215266.76177246094,0.001,149,-4949.879121509999,100.0,59600,3587.4091015625
59800,401,600,227581.93030273443,0.001,149,-4666.68357353,100.0,60000,3563.567456054688
60200,404,604,249198.7985449219,0.001,149,-4578.098427970001,100.0,60400,3557.415034179688
60600,407,608,250235.84253417968,0.001,149,-4179.54364085,100.0,60800,3573.7516259765625
61000,409,612,206582.3727856445,0.001,149,-3996.796463,100.0,61200,3567.8255029296874
61400,412,616,251047.3176831055,0.001,149,-3600.2528629299986,100.0,61600,3530.180400390625
61800,415,620,267411.26774902345,0.001,149,-3411.1431168999993,100.0,62000,3519.087607421875
62200,417,624,228947.97844970704,0.001,149,-3209.0697797799994,100.0,62400,3539.491997070313
62600,420,628,224419.91714111328,0.001,149,-3116.39414781,100.0,62800,3532.0112109375
63000,422,632,268593.69506591803,0.001,149,-2924.44675686,100.0,63200,3511.564111328125
63400,425,636,200378.71702392574,0.001,149,-2924.23263011,100.0,63600,3508.8010546875
63800,428,640,260436.24030517574,0.001,149,-2768.10926298,100.0,64000,3471.21169921875
64200,430,644,218665.60202636718,0.001,149,-2420.03853041,100.0,64400,3470.7145166015625
64600,433,648,274215.75109375,0.001,149,-2419.73560984,100.0,64800,3464.2094921875
65000,436,652,200901.73360351566,0.001,149,-2065.10149045,100.0,65200,3454.95734375
65400,438,656,226207.5349877929,0.001,149,-1976.86449912,100.0,65600,3431.1000634765624
65800,441,660,253415.16720947265,0.001,149,-1911.4685641300002,100.0,66000,3402.7944580078124
66200,444,664,243182.0568017578,0.001,149,-1829.27757259,100.0,66400,3395.82830078125
66600,447,668,219238.289597168,0.001,149,-1660.43265867,100.0,66800,3379.7211865234376
67000,449,672,184348.6371020508,0.001,149,-1488.0438956300004,100.0,67200,3363.70349609375
67400,452,676,205318.5093310547,0.001,149,-1379.4861902999999,100.0,67600,3325.3903076171873
67800,455,680,196770.29795654296,0.001,149,-1323.29247941,100.0,68000,3322.8677490234377
68200,457,684,207092.7094213867,0.001,149,-1220.92351775,100.0,68400,3300.9595947265625
68600,460,688,209389.21713867187,0.001,149,-1123.06668472,100.0,68800,3289.755307617188
69000,463,692,220264.98560791012,0.001,149,-945.5207687,100.0,69200,3247.1383154296873
69400,465,696,166677.75689453125,0.001,149,-850.25142117,100.0,69600,3245.760732421875
69800,468,700,199084.67533691405,0.001,149,-755.07229937,100.0,70000,3218.707646484375
70200,471,704,168517.97553222656,0.001,149,-550.99190714,100.0,70400,3204.728173828125
70600,474,708,178200.7575024414,0.001,149,-551.15693498,100.0,70800,3188.0323828125
71000,476,712,181601.37604492187,0.001,149,-541.96663962,100.0,71200,3174.2524658203124
71400,479,716,201162.7635595703,0.001,149,-541.79515109,100.0,71600,3141.6991943359376
71800,482,720,199451.22655029298,0.001,149,-541.59442393,100.0,72000,3104.575908203125
72200,484,724,196221.1198291016,0.001,149,-541.71701448,100.0,72400,3095.4410302734377
72600,487,728,160429.32712646484,0.001,149,-536.6023310200001,100.0,72800,3071.104829101563
73000,490,732,190234.40872070316,0.001,149,-536.91300841,100.0,73200,3054.5081982421875
73400,492,736,191437.9537939453,0.001,149,-536.67238213,100.0,73600,3050.4028173828124
73800,495,740,184656.47670166017,0.001,149,-531.73053834,100.0,74000,3020.15087890625
74200,498,744,190619.85375,0.001,149,-531.6796381,100.0,74400,3017.454404296875
74600,501,748,172659.19947021484,0.001,149,-531.48407442,100.0,74800,3002.868994140625
75000,503,752,122140.79382568359,0.001,149,-529.35102522,100.0,75200,2970.762387695313
75400,506,756,162413.29849121097,0.001,149,-529.41469924,100.0,75600,2965.4434619140625
75800,509,760,143305.42959594727,0.001,149,-529.61995619,100.0,76000,2937.289301757813
76200,511,764,126727.71100585935,0.001,149,-531.22128803,100.0,76400,2914.821640625
76600,514,768,170489.74341674804,0.001,149,-531.32008318,100.0,76800,2890.763872070313
77000,517,772,144123.31584472655,0.001,149,-531.13640909,100.0,77200,2875.71505859375
77400,519,776,135339.50410644533,0.001,149,-514.65292371,100.0,77600,2854.698291015625
77800,522,780,142676.29975341796,0.001,149,-512.69060056,100.0,78000,2825.6869580078123
78200,525,784,139347.26010253903,0.001,149,-512.48948701,100.0,78400,2814.88130859375
78600,528,788,169283.35159423828,0.001,149,-512.51037121,100.0,78800,2767.24306640625
79000,530,792,134602.18374511722,0.001,149,-508.64018478,100.0,79200,2755.297543945313
79400,533,796,144355.55490234375,0.001,149,-509.84444448,100.0,79600,2740.89455078125
79800,536,800,151032.87653320312,0.001,149,-510.04927566,100.0,80000,2726.30609375
80200,538,804,135315.17883789062,0.001,149,-509.90957966999997,100.0,80400,2689.8190185546873
80600,541,808,139527.0298413086,0.001,149,-511.03020096,100.0,80800,2664.718452148437
81000,544,812,148114.86444335934,0.001,149,-511.10289781,100.0,81200,2648.5777490234377
81400,546,816,140064.0309838867,0.001,149,-511.30643839,100.0,81600,2622.140454101563
81800,549,820,139140.8552001953,0.001,149,-511.20106589,100.0,82000,2595.704233398437
82200,552,824,110312.6399230957,0.001,149,-511.25075898,100.0,82400,2581.7408642578125
82600,555,828,129748.68278076172,0.001,149,-511.37404278,100.0,82800,2565.371943359375
83000,557,832,125419.61686767578,0.001,149,-511.41803558,100.0,83200,2543.84435546875
83400,560,836,130351.94934570312,0.001,149,-511.68007003,100.0,83600,2510.4118994140626
83800,563,840,147440.34389404298,0.001,149,-511.53229868,100.0,84000,2479.339223632813
84200,565,844,140218.2237475586,0.001,149,-511.70021451,100.0,84400,2477.1553271484377
84600,568,848,116119.01052001952,0.001,149,-512.13577699,100.0,84800,2449.8186181640626
85000,571,852,112154.7456262207,0.001,149,-512.51737531,100.0,85200,2426.525693359375
85400,573,856,120035.44458740234,0.001,149,-513.81159768,100.0,85600,2401.327827148437
85800,576,860,114081.6309326172,0.001,149,-513.85344912,100.0,86000,2403.53125
86200,579,864,130854.68496826172,0.001,149,-512.55329412,100.0,86400,2374.637001953125
86600,582,868,132609.38224853517,0.001,149,-512.67577276,100.0,86800,2369.06203125
87000,584,872,102262.44811767578,0.001,149,-512.99513385,100.0,87200,2337.612602539063
87400,587,876,99447.9060144043,0.001,149,-512.85168476,100.0,87600,2310.423564453125
87800,590,880,105496.04907958984,0.001,149,-512.66476484,100.0,88000,2291.82158203125
88200,592,884,105220.46272460936,0.001,149,-512.77095884,100.0,88400,2272.9317333984377
88600,595,888,107280.98628662108,0.001,149,-512.68478336,100.0,88800,2255.557788085937
89000,598,892,101397.9949609375,0.001,149,-512.75928338,100.0,89200,2239.425981445313
