time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
60400,604,-9990.112786290001,153,100.0,60200,3181.7649462890627,161456.71655517578,394,0.001
60800,608,-9986.76789918,153,100.0,60600,3222.73630859375,108746.29236083984,396,0.001
61200,612,-9990.04092225,153,100.0,61000,3202.7108544921875,148046.02909423827,399,0.001
61600,616,-9985.47884258,153,100.0,61400,3218.7008251953125,111079.33873535156,402,0.001
62000,620,-9987.440377939998,153,100.0,61800,3212.274267578125,131204.64478515624,404,0.001
62400,624,-9987.38327166,153,100.0,62200,3203.66482421875,113432.92673583985,407,0.001
62800,628,-9986.749194799999,153,100.0,62600,3225.900205078125,132898.47316772462,410,0.001
63200,632,-9991.00349399,153,100.0,63000,3231.2770166015625,140582.8830419922,412,0.001
63600,636,-9988.76763299,153,100.0,63400,3228.633583984375,143893.47024414063,415,0.001
64000,640,-9986.403373890002,153,100.0,63800,3245.3950927734377,136315.28279541017,417,0.001
64400,644,-9983.84681726,153,100.0,64200,3234.339697265625,127951.08818847657,420,0.001
64800,648,-9984.43826272,153,100.0,64600,3251.3964794921876,145805.9964794922,423,0.001
65200,652,-9985.127197160002,153,100.0,65000,3277.86712890625,181927.61544433594,425,0.001
65600,656,-9983.99766678,153,100.0,65400,3290.2411767578124,164591.36864990235,428,0.001
66000,660,-9983.2165117,153,100.0,65800,3295.7571533203127,144542.61454589842,430,0.001
66400,664,-9981.34347112,153,100.0,66200,3295.530087890625,110222.35943481445,433,0.001
66800,668,-9980.76375899,153,100.0,66600,3295.49611328125,133749.5900756836,436,0.001
67200,672,-9979.247732509999,153,100.0,67000,3309.4158544921875,152909.71021240234,438,0.001
67600,676,-9956.176206600001,153,100.0,67400,3297.888408203125,175430.4443359375,441,0.001
68000,680,-9955.36004171,153,100.0,67800,3321.2746630859374,153757.8708569336,443,0.001
68400,684,-9947.355748080001,153,100.0,68200,3307.180517578125,119494.1799560547,446,0.001
68800,688,-9948.014071330002,153,100.0,68600,3312.4377783203126,141190.4301220703,449,0.001
69200,692,-9947.055727869998,153,100.0,69000,3347.9512548828125,169608.58526123047,451,0.001
69600,696,-9948.391728759998,153,100.0,69400,3322.806904296875,149694.08279296875,454,0.001
70000,700,-10106.312405459998,153,100.0,69800,3317.980751953125,125372.5827734375,456,0.001
70400,704,-10104.305591970002,153,100.0,70200,3339.932138671875,153744.8550439453,459,0.001
70800,708,-10101.15286771,153,100.0,70600,3355.4434228515624,130504.83759765625,462,0.001
71200,712,-10094.38154064,153,100.0,71000,3339.9791552734373,167727.59436523437,464,0.001
71600,716,-10091.97949909,153,100.0,71400,3342.544677734375,135004.68548583984,467,0.001
72000,720,-10082.735189289999,153,100.0,71800,3342.7165625,121685.49897705078,469,0.001
72400,724,-10056.96677008,153,100.0,72200,3368.699853515625,178256.18140625,472,0.001
72800,728,-10052.434499040002,153,100.0,72600,3359.05173828125,165596.8062060547,475,0.001
73200,732,-10006.75486002,153,100.0,73000,3359.1599658203127,145189.43303710938,477,0.001
73600,736,-10005.131692,153,100.0,73400,3393.0744189453126,190494.06352783204,480,0.001
74000,740,-9998.74610051,153,100.0,73800,3404.6626416015624,146782.6147998047,482,0.001
74400,744,-9992.40268623,153,100.0,74200,3368.5659619140624,166620.69072753907,485,0.001
74800,748,-9981.45295111,153,100.0,74600,3383.30240234375,159507.83569335938,488,0.001
75200,752,-9962.01146273,153,100.0,75000,3377.31013671875,153235.7121435547,490,0.001
75600,756,-9945.40839174,153,100.0,75400,3398.7828857421873,146125.91624267577,493,0.001
76000,760,-9918.093164929998,153,100.0,75800,3397.2234228515626,123632.19155639649,496,0.001
76400,764,-9914.842120809999,153,100.0,76200,3413.349384765625,139972.7189013672,498,0.001
76800,768,-9856.653581519999,153,100.0,76600,3423.574375,157245.62057128907,501,0.001
77200,772,-9837.12285028,153,100.0,77000,3420.5796435546877,194516.90923583985,503,0.001
77600,776,-9858.68116732,153,100.0,77400,3399.6227734375,123322.59451416016,506,0.001
78000,780,-9752.53119656,153,100.0,77800,3411.0343017578125,173033.98520996093,509,0.001
