rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,68800,68600,688,155,-19722.50152225,4628.125556640625,380024.7868847656,441,0.001
100.0,69200,69000,692,155,-19702.265930880007,4631.3471875,322081.35172851564,443,0.001
100.0,69600,69400,696,155,-19691.33081347,4631.292255859375,369900.47763671883,446,0.001
100.0,70000,69800,700,155,-19628.23953945,4649.081748046875,274943.46454589843,448,0.001
100.0,70400,70200,704,155,-19657.78460666,4663.256123046875,316408.12916503905,451,0.001
100.0,70800,70600,708,155,-19459.78764807,4634.57158203125,367822.1741992188,454,0.001
100.0,71200,71000,712,155,-19447.733162259996,4665.285908203125,293224.9032519532,456,0.001
100.0,71600,71400,716,155,-19208.30037646,4678.006884765625,314734.0900390625,459,0.001
100.0,72000,71800,720,155,-19046.90747918,4708.821083984375,310305.0376708984,461,0.001
100.0,72400,72200,724,155,-18828.712529340002,4676.57216796875,289332.6998681641,464,0.001
100.0,72800,72600,728,155,-18667.293789440002,4666.981572265625,321983.0775854492,466,0.001
100.0,73200,73000,732,155,-18550.95549555,4688.888720703125,274935.73135253903,469,0.001
100.0,73600,73400,736,155,-18429.63111659,4700.08072265625,297130.3106152344,471,0.001
100.0,74000,73800,740,155,-18280.82051556,4705.81693359375,301169.7854785156,474,0.001
100.0,74400,74200,744,155,-18050.59705207,4705.1397265625,325038.8403710938,477,0.001
100.0,74800,74600,748,155,-17887.138966669998,4682.705859375,332108.0271875,479,0.001
100.0,75200,75000,752,155,-17787.793691580002,4702.876962890625,264211.2054003906,482,0.001
100.0,75600,75400,756,155,-17571.939006369998,4687.2278125,342001.1882373047,484,0.001
100.0,76000,75800,760,155,-17368.25637545,4732.7766015625,413319.82100097655,487,0.001
100.0,76400,76200,764,155,-17296.59426431,4730.313251953125,316776.5275488281,489,0.001
100.0,76800,76600,768,155,-17180.17544966,4742.4398046875,348643.12860351556,492,0.001
100.0,77200,77000,772,155,-17103.7519129,4712.33716796875,318259.5356542969,494,0.001
100.0,77600,77400,776,155,-17072.02590031,4705.187490234375,369303.7953759765,497,0.001
100.0,78000,77800,780,155,-16985.16994839,4717.46662109375,312726.8017041016,500,0.001
100.0,78400,78200,784,155,-16911.05549198,4725.648798828125,351802.93462158204,502,0.001
100.0,78800,78600,788,156,-16863.929527990003,4744.29115234375,327633.8882568359,505,0.001
100.0,79200,79000,792,156,-16861.30404078,4692.30201171875,295455.4302685547,507,0.001
100.0,79600,79400,796,156,-16837.766140710002,4725.96470703125,361638.9049243164,510,0.001
100.0,80000,79800,800,156,-16811.017455300003,4744.217294921875,308915.32255859376,512,0.001
100.0,80400,80200,804,156,-16798.992928740005,4728.48392578125,326466.5844189453,515,0.001
100.0,80800,80600,808,156,-16779.686595420004,4700.687939453125,380706.6044116211,517,0.001
100.0,81200,81000,812,156,-16780.99409705,4722.32580078125,396284.3696044922,520,0.001
100.0,81600,81400,816,155,-16794.094360850002,4744.708681640625,343111.5668408203,523,0.001
100.0,82000,81800,820,155,-16769.84524273,4754.58203125,323946.71326660155,525,0.001
100.0,82400,82200,824,155,-16745.13475043,4747.82578125,421340.2775219727,528,0.001
100.0,82800,82600,828,155,-16724.012184110004,4736.330615234375,309115.47518066404,530,0.001
100.0,83200,83000,832,155,-16696.802312680004,4702.498896484375,364983.6178417969,533,0.001
