rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-33398.32536951,10200,0.0,1.2083793878555298,-4574.515625,10199,-4.822169780731201,483,100.0,105,51000,859731.6875,0.0007
-33358.536744,10300,0.0,1.210728406906128,-2802.836181640625,10299,-4.825397491455078,483,100.0,106,51500,535613.5625,0.0007
-33359.195895109995,10400,0.0,1.2125039100646973,-4296.31884765625,10399,-4.8317155838012695,483,100.0,107,52000,887212.6875,0.0007
-33301.414024690006,10500,0.0,1.2075793743133545,-3314.30126953125,10499,-4.818137645721436,483,100.0,108,52500,590041.4375,0.0007
-33290.71428257998,10600,1.1920928955078125e-07,1.2084028720855713,-2822.494140625,10599,-4.817916393280028,483,100.0,109,53000,552591.0,0.0007
-33179.52987259001,10700,2.384185791015625e-07,1.2132571935653689,-3422.529052734375,10699,-4.832559108734131,483,100.0,110,53500,625650.5,0.0007
-33120.62480295001,10800,-1.1920928955078125e-07,1.2172845602035522,-3151.378173828125,10799,-4.841980934143066,484,100.0,111,54000,675862.0,0.0007
-33049.02738286,10900,1.1920928955078125e-07,1.2153894901275637,-2969.40283203125,10899,-4.837681770324707,484,100.0,112,54500,589529.6875,0.0007
-32961.17961603,11000,-1.1920928955078125e-07,1.2239171266555786,-3737.19140625,10999,-4.8598833084106445,484,100.0,113,55000,824903.6875,0.0007
-32959.19917069,11100,0.0,1.2267813682556152,-3366.25390625,11099,-4.86613655090332,484,100.0,114,55500,682893.9375,0.0007
-32935.13780789,11200,5.960464477539063e-08,1.21160089969635,-4524.08349609375,11199,-4.83003044128418,484,100.0,115,56000,727939.0,0.0007
-32935.385155560005,11300,0.0,1.215909481048584,-3534.33056640625,11299,-4.837213516235352,484,100.0,116,56500,757219.25,0.0007
-32980.79384729,11400,0.0,1.205873966217041,-3431.146484375,11399,-4.812144756317139,484,100.0,117,57000,794223.5,0.0007
-32878.38317360001,11500,1.1920928955078125e-07,1.2079172134399414,-3991.511474609375,11499,-4.819385528564453,484,100.0,118,57500,793859.6875,0.0007
-32737.08261703999,11600,0.0,1.209393858909607,-4319.65966796875,11599,-4.822108745574951,484,100.0,119,58000,1154555.5,0.0007
-32622.28644361001,11700,0.0,1.211107611656189,-3216.118896484375,11699,-4.826692581176758,485,100.0,120,58500,641392.5625,0.0007
-32554.83204379,11800,0.0,1.2042206525802612,-2938.645263671875,11799,-4.808358192443848,485,100.0,121,59000,605796.25,0.0007
-32433.544373440003,11900,0.0,1.1986706256866455,-4509.2939453125,11899,-4.79572868347168,485,100.0,122,59500,1006179.1875,0.0007
-32320.192028659996,12000,-2.384185791015625e-07,1.1939306259155271,-4619.1904296875,11999,-4.783763408660889,485,100.0,123,60000,1000724.625,0.0007
-32218.32124963,12100,-1.1920928955078125e-07,1.1868298053741455,-3092.017822265625,12099,-4.764307022094727,485,100.0,124,60500,604819.875,0.0007
-32163.94078121,12200,0.0,1.1836369037628174,-2062.982177734375,12199,-4.755817413330078,485,100.0,125,61000,349522.5625,0.0007
-32117.312658940005,12300,0.0,1.1879948377609253,-2936.678955078125,12299,-4.767287731170653,485,100.0,126,61500,550201.625,0.0007
-32069.474714709995,12400,-1.1920928955078125e-07,1.1946625709533691,-2645.94775390625,12399,-4.78321647644043,485,100.0,127,62000,526512.0,0.0007
-32075.911912979995,12500,5.960464477539063e-08,1.1958832740783691,-4611.2421875,12499,-4.788794040679932,485,100.0,128,62500,1053606.75,0.0007
-32112.037347390004,12600,1.1920928955078125e-07,1.1941262483596802,-5672.86865234375,12599,-4.785638332366943,485,100.0,129,63000,1296675.875,0.0007
-32206.63060194,12700,-1.1920928955078125e-07,1.1873154640197754,-3633.456298828125,12699,-4.7648773193359375,485,100.0,130,63500,835178.25,0.0007
-32185.26629726,12800,0.0,1.1870577335357666,-3965.84228515625,12799,-4.7669358253479,485,100.0,131,64000,852005.8125,0.0007
-32107.966798769994,12900,0.0,1.185489058494568,-2481.174072265625,12899,-4.760213375091553,485,100.0,132,64500,536621.625,0.0007
-32025.02376206,13000,2.384185791015625e-07,1.186337947845459,-3583.579345703125,12999,-4.766626834869385,485,100.0,133,65000,579909.375,0.0007
-31930.245765619995,13100,0.0,1.1749415397644043,-4306.0556640625,13099,-4.736974716186523,485,100.0,134,65500,1035320.0,0.0007
-31869.11441134,13200,0.0,1.1734607219696045,-4098.05908203125,13199,-4.73417854309082,485,100.0,135,66000,861778.625,0.0007
-31853.44686838,13300,0.0,1.1703147888183594,-3836.582763671875,13299,-4.726609230041504,485,100.0,136,66500,739156.5625,0.0007
-31776.52966942,13400,-1.1920928955078125e-07,1.17862868309021,-2399.02783203125,13399,-4.74616813659668,485,100.0,137,67000,432677.59375,0.0007
-31896.98043838,13500,-1.1920928955078125e-07,1.1801964044570925,-4300.931640625,13499,-4.752087593078613,485,100.0,138,67500,865213.4375,0.0007
-32076.33517467,13600,0.0,1.1797764301300049,-3661.682861328125,13599,-4.749250411987305,485,100.0,139,68000,875027.625,0.0007
-32128.87281121,13700,1.1920928955078125e-07,1.1818318367004397,-3456.012939453125,13699,-4.754222393035889,485,100.0,141,68500,773160.6875,0.0007
-32232.34205018,13800,0.0,1.1825852394104004,-3704.98046875,13799,-4.756145000457764,485,100.0,142,69000,934197.4375,0.0007
-32297.68723094,13900,-1.1920928955078125e-07,1.1886656284332275,-4588.18115234375,13899,-4.7730231285095215,485,100.0,143,69500,988885.1875,0.0007
-32358.72943038,14000,1.7881393432617188e-07,1.1984291076660156,-3027.1708984375,13999,-4.795220375061035,486,100.0,144,70000,614363.0,0.0007
-32491.73021993001,14100,0.0,1.2038731575012207,-3151.178955078125,14099,-4.809408187866211,486,100.0,145,70500,640106.6875,0.0007
-32632.38785951001,14200,1.1920928955078125e-07,1.2050048112869265,-4892.65869140625,14199,-4.813209056854248,486,100.0,145,71000,1210775.75,0.0007
-32722.55610123,14300,0.0,1.2168188095092771,-3560.996826171875,14299,-4.839845180511475,486,100.0,146,71500,941080.9375,0.0007
-32772.65465895001,14400,1.7881393432617188e-07,1.218618869781494,-3127.34033203125,14399,-4.84320592880249,486,100.0,147,72000,754703.5625,0.0007
-32746.05152408,14500,-1.1920928955078125e-07,1.220670461654663,-3081.360107421875,14499,-4.847524642944336,486,100.0,149,72500,642096.9375,0.0007
-32733.13046465,14600,-1.1920928955078125e-07,1.2179148197174072,-3744.28369140625,14599,-4.841950416564941,486,100.0,150,73000,758515.125,0.0007
-32730.715671129994,14700,0.0,1.211585521697998,-5042.16943359375,14699,-4.829736709594727,486,100.0,151,73500,917795.9375,0.0007
