train/std,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,time/iterations,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/policy_loss
1.3211901187896729,-10119.74336768,7199,69,518,-5.076213359832764,0.0007,2.980232238769531e-07,7200,105801.375,36000,100.0,-1247.9171142578125
1.3188396692276,-10120.51884487,7299,70,518,-5.075892925262451,0.0007,2.980232238769531e-07,7300,106134.453125,36500,100.0,-1682.6585693359375
1.3308011293411255,-10120.967656809999,7399,71,518,-5.102883338928223,0.0007,0.0,7400,105313.2265625,37000,100.0,-1467.6383056640625
1.337473750114441,-10116.49848734,7499,72,518,-5.120003700256348,0.0007,0.0,7500,105199.703125,37500,100.0,-1876.0045166015625
1.34368896484375,-10119.388885629998,7599,73,518,-5.131715774536133,0.0007,0.0,7600,104884.625,38000,100.0,-1436.476806640625
1.3453891277313232,-10115.97714778,7699,74,518,-5.137813091278076,0.0007,0.0,7700,105399.6015625,38500,100.0,-1744.493408203125
1.3501871824264526,-10115.09660198,7799,75,518,-5.147193908691406,0.0007,0.0,7800,104294.390625,39000,100.0,-1541.71923828125
1.3514093160629272,-10105.446612040001,7899,76,518,-5.149453163146973,0.0007,-1.1920928955078125e-07,7900,102866.96875,39500,100.0,-1418.990234375
1.3657405376434326,-10103.46502181,7999,77,518,-5.178257942199707,0.0007,0.0,8000,104678.9609375,40000,100.0,-1369.400634765625
1.3748821020126343,-10095.849491649999,8099,78,518,-5.199863433837891,0.0007,0.0,8100,103365.484375,40500,100.0,-1405.363037109375
1.3881162405014038,-10086.74457261,8199,79,518,-5.228395462036133,0.0007,1.1920928955078125e-07,8200,103745.8984375,41000,100.0,-1524.4061279296875
1.3846702575683594,-10066.16580459,8299,79,518,-5.220536231994629,0.0007,8.344650268554688e-07,8300,104303.109375,41500,100.0,-1557.7825927734375
1.3898179531097412,-10065.15022149,8399,80,519,-5.230591773986816,0.0007,0.0,8400,103104.3984375,42000,100.0,-1414.3773193359375
1.3938134908676147,-10060.37478296,8499,81,519,-5.240083694458008,0.0007,0.0,8500,104250.9921875,42500,100.0,-1604.184326171875
1.395799994468689,-10053.14414524,8599,82,519,-5.242408275604248,0.0007,0.0,8600,104387.4296875,43000,100.0,-1328.5360107421875
1.3999669551849365,-10025.567619379999,8699,83,519,-5.253093242645264,0.0007,0.0,8700,103944.8359375,43500,100.0,-1718.8408203125
1.404709815979004,-10017.29936008,8799,84,519,-5.263028144836426,0.0007,1.1920928955078125e-07,8800,104889.7265625,44000,100.0,-1660.9310302734375
1.416858434677124,-9994.04356878,8899,85,519,-5.286981582641602,0.0007,-1.1920928955078125e-07,8900,103331.890625,44500,100.0,-1427.6510009765625
1.421817660331726,-9982.779775410001,8999,86,519,-5.301455020904541,0.0007,-1.1920928955078125e-07,9000,104346.25,45000,100.0,-1707.7574462890625
1.429722547531128,-9968.40691076,9099,87,519,-5.3189697265625,0.0007,1.1920928955078125e-07,9100,103969.8515625,45500,100.0,-2050.038818359375
1.4355090856552124,-9938.45035703,9199,88,519,-5.3280487060546875,0.0007,0.0,9200,104381.7265625,46000,100.0,-1761.5394287109375
1.4426965713500977,-9922.21382613,9299,89,519,-5.338571548461914,0.0007,0.0,9300,103890.1875,46500,100.0,-1431.1929931640625
1.4548709392547607,-9898.358716119998,9399,90,519,-5.363858699798584,0.0007,0.0,9400,103097.03125,47000,100.0,-1644.6717529296875
1.459586501121521,-9873.0931349,9499,91,519,-5.36957311630249,0.0007,0.0,9500,104369.2890625,47500,100.0,-1453.5823974609375
1.4600045680999756,-9857.577972149998,9599,92,519,-5.373155117034912,0.0007,0.0,9600,103933.4765625,48000,100.0,-1653.6043701171875
1.4602826833724976,-9833.65032649,9699,93,519,-5.37064266204834,0.0007,0.0,9700,102837.3046875,48500,100.0,-1443.9842529296875
1.4616761207580566,-9814.81792135,9799,94,519,-5.372847557067871,0.0007,0.0,9800,104156.453125,49000,100.0,-1591.4293212890625
1.4670076370239258,-9815.874358860001,9899,95,519,-5.382715225219727,0.0007,0.0,9900,102636.7109375,49500,100.0,-1322.2655029296875
1.4630045890808105,-9799.85003711,9999,96,519,-5.374453067779541,0.0007,0.0,10000,102543.140625,50000,100.0,-1416.5814208984375
1.4534568786621094,-9793.514688920002,10099,97,519,-5.357439994812012,0.0007,0.0,10100,101628.859375,50500,100.0,-1597.186767578125
1.4564497470855713,-9788.34549782,10199,98,519,-5.363244533538818,0.0007,0.0,10200,102381.5,51000,100.0,-1739.577392578125
