time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
437,66800,100.0,-16862.786562920002,89985.13683532715,152,668,0.001,66600,3561.7811328125
439,67200,100.0,-16817.31805613,82958.74059448243,152,672,0.001,67000,3559.241604003906
442,67600,100.0,-16728.74505889,112273.50702392578,152,676,0.001,67400,3562.330339355469
444,68000,100.0,-16675.109002999998,95829.7042199707,152,680,0.001,67800,3587.924582519531
447,68400,100.0,-16642.104935150004,102283.91487670898,152,684,0.001,68200,3588.4505810546875
450,68800,100.0,-16611.530031609997,109360.994921875,152,688,0.001,68600,3591.32005859375
452,69200,100.0,-16542.195317620004,89563.99695800783,152,692,0.001,69000,3616.196218261719
455,69600,100.0,-16527.858735199996,103369.54536254883,152,696,0.001,69400,3640.342287597656
457,70000,100.0,-16510.790091939998,98179.0030871582,152,700,0.001,69800,3667.119501953125
460,70400,100.0,-16505.736063919998,99269.07745483398,152,704,0.001,70200,3674.7589086914063
463,70800,100.0,-16481.42845158,98164.89857666015,152,708,0.001,70600,3675.8927172851563
465,71200,100.0,-16485.02431355,92337.45436462402,152,712,0.001,71000,3695.1353002929686
468,71600,100.0,-16468.60595164,96888.25047851562,152,716,0.001,71400,3706.0092358398438
471,72000,100.0,-16443.22235352,110899.75533630373,152,720,0.001,71800,3740.11037109375
473,72400,100.0,-16370.96641614,101509.40600097657,152,724,0.001,72200,3737.337592773437
476,72800,100.0,-16325.874254949998,110867.10547729493,152,728,0.001,72600,3740.746960449219
478,73200,100.0,-16270.85898724,94926.4638458252,152,732,0.001,73000,3762.430551757812
481,73600,100.0,-16201.374593030005,93207.8647241211,152,736,0.001,73400,3781.6404418945312
484,74000,100.0,-16114.070942860002,121739.24523742676,152,740,0.001,73800,3777.285932617187
486,74400,100.0,-16052.83070207,106516.23756225586,152,744,0.001,74200,3794.899755859375
489,74800,100.0,-16017.43690302,91326.62625061037,152,748,0.001,74600,3828.3647045898438
492,75200,100.0,-15976.2989257,112325.5394140625,152,752,0.001,75000,3825.534575195312
494,75600,100.0,-15931.539882540004,111184.38618041993,152,756,0.001,75400,3859.1962426757814
497,76000,100.0,-15871.680820159998,143735.71178588868,152,760,0.001,75800,3822.484365234375
500,76400,100.0,-15835.65576171,119832.17014099119,152,764,0.001,76200,3860.3447119140624
502,76800,100.0,-15800.24249497,128747.63135925293,152,768,0.001,76600,3878.9332836914064
505,77200,100.0,-15743.53887388,112083.64975952149,152,772,0.001,77000,3894.7660620117185
507,77600,100.0,-15713.4266365,113237.26248046875,152,776,0.001,77400,3908.6441674804687
510,78000,100.0,-15686.115656110003,105447.01477905274,152,780,0.001,77800,3912.2810913085937
513,78400,100.0,-15666.21137669,120181.84257751465,152,784,0.001,78200,3928.964167480469
515,78800,100.0,-15648.53571391,102522.11957641602,152,788,0.001,78600,3934.988715820312
518,79200,100.0,-15621.15268147,110720.5777294922,152,792,0.001,79000,3934.910378417969
520,79600,100.0,-15574.52259552,106073.54093139648,152,796,0.001,79400,3935.222583007812
523,80000,100.0,-15536.439374799998,99330.73167175293,152,800,0.001,79800,3959.173208007813
526,80400,100.0,-15502.61772835,128453.06308471679,152,804,0.001,80200,3948.64072265625
528,80800,100.0,-15466.79913812,106894.36697265624,152,808,0.001,80600,3987.2177490234376
531,81200,100.0,-15422.66305915,139556.4372363281,152,812,0.001,81000,3940.600676269531
534,81600,100.0,-15447.944157590002,130943.5256201172,152,816,0.001,81400,3976.922678222656
536,82000,100.0,-15409.62825887,117953.39772155762,152,820,0.001,81800,3978.2486401367187
539,82400,100.0,-15393.44562266,124047.79265380859,152,824,0.001,82200,3970.215324707032
542,82800,100.0,-15364.774774710002,119554.7541607666,152,828,0.001,82600,3982.27294921875
544,83200,100.0,-15346.20935796,118157.30660766602,152,832,0.001,83000,3986.748649902344
547,83600,100.0,-15305.623789220002,113861.48432373047,152,836,0.001,83400,3990.542114257813
549,84000,100.0,-15288.62910572,126582.35789855955,152,840,0.001,83800,3995.40640625
552,84400,100.0,-15265.569475410002,128681.57970703125,152,844,0.001,84200,4011.49185546875
555,84800,100.0,-15244.60705501,113177.75560058595,152,848,0.001,84600,3991.87072265625
557,85200,100.0,-15248.27213106,103546.57676391602,152,852,0.001,85000,4001.0553759765626
560,85600,100.0,-15232.48908204,144847.68565063475,152,856,0.001,85400,3988.448193359375
562,86000,100.0,-15224.42637007,113899.79991027832,152,860,0.001,85800,4013.9148046875
565,86400,100.0,-15230.02679949,114324.4569506836,152,864,0.001,86200,4020.725756835937
568,86800,100.0,-15226.16604332,132790.52840576172,152,868,0.001,86600,3993.6032446289055
570,87200,100.0,-15238.18720927,129536.64766967775,152,872,0.001,87000,3989.5349243164064
573,87600,100.0,-15253.31931095,91984.65980285645,152,876,0.001,87400,4013.069956054687
576,88000,100.0,-15259.66257129,125282.31767822265,152,880,0.001,87800,3977.0479565429687
578,88400,100.0,-15189.84018029,109460.1930041504,152,884,0.001,88200,3989.4205737304687
581,88800,100.0,-15149.27168086,121014.84338500975,152,888,0.001,88600,3982.715478515625
583,89200,100.0,-15161.179401890002,112927.96085266113,152,892,0.001,89000,3992.27556640625
586,89600,100.0,-15133.25125026,116991.99364746096,152,896,0.001,89400,4001.173513183594
589,90000,100.0,-15114.78753214,144689.49190551759,152,900,0.001,89800,3960.7428198242187
591,90400,100.0,-15032.60745482,121116.591875,152,904,0.001,90200,3975.4291918945314
594,90800,100.0,-15015.00378186,122480.6617553711,152,908,0.001,90600,3982.667741699219
597,91200,100.0,-15016.512254270003,123256.44550170898,152,912,0.001,91000,4003.992844238281
599,91600,100.0,-15016.85293083,117290.45099060057,152,916,0.001,91400,3958.4502587890624
602,92000,100.0,-14961.65935011,117210.08493774412,152,920,0.001,91800,3968.906586914063
604,92400,100.0,-14843.058629260002,111669.50386840821,152,924,0.001,92200,3974.732590332031
607,92800,100.0,-14776.48623797,149137.55278442384,152,928,0.001,92600,3970.399323730469
610,93200,100.0,-14727.769271,142891.96131469726,152,932,0.001,93000,3934.023315429688
612,93600,100.0,-14664.74437163,124403.55112792966,152,936,0.001,93400,3948.3265014648437
615,94000,100.0,-14448.13762601,135768.14786376953,152,940,0.001,93800,3961.2805590820312
618,94400,100.0,-14225.66673733,127970.80893676756,152,944,0.001,94200,3967.2154443359377
620,94800,100.0,-14079.48649733,135336.34171386718,152,948,0.001,94600,3970.9518359375
623,95200,100.0,-14032.15475011,126237.19860595705,152,952,0.001,95000,3943.1257739257812
625,95600,100.0,-13949.48429408,117897.65279174804,152,956,0.001,95400,3922.88630859375
